traj_index,roi_id,roi_label,cum_distance_mm
1,17,7Networks_LH_SomMot_18,0.0
2,15,7Networks_LH_SomMot_16,7.713078332679705
3,16,7Networks_LH_SomMot_17,21.50574702041424
4,19,7Networks_LH_SomMot_20,34.85977705225173
5,20,7Networks_LH_SomMot_21,45.23539780006325
6,22,7Networks_LH_SomMot_23,57.37516138284381
7,21,7Networks_LH_SomMot_22,68.20632154737423
8,28,7Networks_LH_SomMot_29,83.97613358382822
9,29,7Networks_LH_SomMot_30,93.92538229511382
10,27,7Networks_LH_SomMot_28,102.2558703875369
11,36,7Networks_LH_SomMot_37,117.94206943005214
12,35,7Networks_LH_SomMot_36,127.46273192713625
13,31,7Networks_LH_SomMot_32,134.60263146006412
14,30,7Networks_LH_SomMot_31,148.89148740114928
15,34,7Networks_LH_SomMot_35,160.73889359495286
16,25,7Networks_LH_SomMot_26,177.6341764779132
17,18,7Networks_LH_SomMot_19,192.08988761489528
18,24,7Networks_LH_SomMot_25,205.85153402553732
19,33,7Networks_LH_SomMot_34,218.26408615591177
20,32,7Networks_LH_SomMot_33,234.85154313440708
21,23,7Networks_LH_SomMot_24,252.00378617452162
22,26,7Networks_LH_SomMot_27,285.8420972978113
23,14,7Networks_LH_SomMot_15,325.4439381959222
24,13,7Networks_LH_SomMot_14,334.81980989705573
25,12,7Networks_LH_SomMot_13,346.23053721527054
26,9,7Networks_LH_SomMot_10,358.71525094676775
27,8,7Networks_LH_SomMot_9,374.12823375070485
28,10,7Networks_LH_SomMot_11,385.990808271868
29,7,7Networks_LH_SomMot_8,399.32357942459
30,11,7Networks_LH_SomMot_12,426.2105219724813
