traj_index,roi_id,roi_label,cum_distance_mm
1,56,7Networks_RH_SomMot_20,0.0
2,58,7Networks_RH_SomMot_22,10.11859077688627
3,59,7Networks_RH_SomMot_23,18.643495909118773
4,62,7Networks_RH_SomMot_26,30.881618201489843
5,60,7Networks_RH_SomMot_24,38.96704430522281
6,66,7Networks_RH_SomMot_30,54.89860681783514
7,64,7Networks_RH_SomMot_28,62.312108931710156
8,65,7Networks_RH_SomMot_29,68.99868177013073
9,72,7Networks_RH_SomMot_36,81.21841235734139
10,71,7Networks_RH_SomMot_35,87.7961677948774
11,70,7Networks_RH_SomMot_34,92.737595161724
12,76,7Networks_RH_SomMot_40,102.91534367844974
13,75,7Networks_RH_SomMot_39,114.3194508738661
14,67,7Networks_RH_SomMot_31,127.9685377891036
15,61,7Networks_RH_SomMot_25,144.47472612381046
16,57,7Networks_RH_SomMot_21,157.43936893247883
17,68,7Networks_RH_SomMot_32,187.3923880630865
18,63,7Networks_RH_SomMot_27,198.05763584472933
19,73,7Networks_RH_SomMot_37,221.77829871260462
20,69,7Networks_RH_SomMot_33,256.4970810585779
21,74,7Networks_RH_SomMot_38,267.6538256584674
22,47,7Networks_RH_SomMot_11,331.4937143423879
23,50,7Networks_RH_SomMot_14,342.164774331047
24,46,7Networks_RH_SomMot_10,353.66652960970896
25,48,7Networks_RH_SomMot_12,364.2287663146926
26,51,7Networks_RH_SomMot_15,376.8784403710761
27,49,7Networks_RH_SomMot_13,390.3249040371618
28,53,7Networks_RH_SomMot_17,408.26135756317586
29,54,7Networks_RH_SomMot_18,417.84267700329025
30,55,7Networks_RH_SomMot_19,432.0966426725683
31,52,7Networks_RH_SomMot_16,449.6827513234834
32,45,7Networks_RH_SomMot_9,494.70323631593226
