,7Networks_LH_SomMot_8,7Networks_LH_SomMot_9,7Networks_LH_SomMot_10,7Networks_LH_SomMot_11,7Networks_LH_SomMot_12,7Networks_LH_SomMot_13,7Networks_LH_SomMot_14,7Networks_LH_SomMot_15,7Networks_LH_SomMot_16,7Networks_LH_SomMot_17,7Networks_LH_SomMot_18,7Networks_LH_SomMot_19,7Networks_LH_SomMot_20,7Networks_LH_SomMot_21,7Networks_LH_SomMot_22,7Networks_LH_SomMot_23,7Networks_LH_SomMot_24,7Networks_LH_SomMot_25,7Networks_LH_SomMot_26,7Networks_LH_SomMot_27,7Networks_LH_SomMot_28,7Networks_LH_SomMot_29,7Networks_LH_SomMot_30,7Networks_LH_SomMot_31,7Networks_LH_SomMot_32,7Networks_LH_SomMot_33,7Networks_LH_SomMot_34,7Networks_LH_SomMot_35,7Networks_LH_SomMot_36,7Networks_LH_SomMot_37,7Networks_RH_SomMot_9,7Networks_RH_SomMot_10,7Networks_RH_SomMot_11,7Networks_RH_SomMot_12,7Networks_RH_SomMot_13,7Networks_RH_SomMot_14,7Networks_RH_SomMot_15,7Networks_RH_SomMot_16,7Networks_RH_SomMot_17,7Networks_RH_SomMot_18,7Networks_RH_SomMot_19,7Networks_RH_SomMot_20,7Networks_RH_SomMot_21,7Networks_RH_SomMot_22,7Networks_RH_SomMot_23,7Networks_RH_SomMot_24,7Networks_RH_SomMot_25,7Networks_RH_SomMot_26,7Networks_RH_SomMot_27,7Networks_RH_SomMot_28,7Networks_RH_SomMot_29,7Networks_RH_SomMot_30,7Networks_RH_SomMot_31,7Networks_RH_SomMot_32,7Networks_RH_SomMot_33,7Networks_RH_SomMot_34,7Networks_RH_SomMot_35,7Networks_RH_SomMot_36,7Networks_RH_SomMot_37,7Networks_RH_SomMot_38,7Networks_RH_SomMot_39,7Networks_RH_SomMot_40,C3 GM left dorsal horn,C3 GM left intermediate zone,C3 GM left ventral horn,C3 GM right dorsal horn,C3 GM right intermediate zone,C3 GM right ventral horn,C3 WM ascending,C3 WM descending,C4 GM left dorsal horn,C4 GM left intermediate zone,C4 GM left ventral horn,C4 GM right dorsal horn,C4 GM right intermediate zone,C4 GM right ventral horn,C4 WM ascending,C4 WM descending,C5 GM left dorsal horn,C5 GM left intermediate zone,C5 GM left ventral horn,C5 GM right dorsal horn,C5 GM right intermediate zone,C5 GM right ventral horn,C5 WM ascending,C5 WM descending,C6 GM left dorsal horn,C6 GM left intermediate zone,C6 GM left ventral horn,C6 GM right dorsal horn,C6 GM right intermediate zone,C6 GM right ventral horn,C6 WM ascending,C6 WM descending,C7 GM left dorsal horn,C7 GM left intermediate zone,C7 GM left ventral horn,C7 GM right dorsal horn,C7 GM right intermediate zone,C7 GM right ventral horn,C7 WM ascending,C7 WM descending,C8 GM left dorsal horn,C8 GM left intermediate zone,C8 GM left ventral horn,C8 GM right dorsal horn,C8 GM right intermediate zone,C8 GM right ventral horn,C8 WM ascending,C8 WM descending
7Networks_LH_SomMot_8,1.0,0.5329753221926824,0.27818068478580454,0.2963076487000073,0.37027635563128336,0.14903753715110335,0.12285612068861691,0.2941792983688892,0.07337885043782552,0.24977118220154723,0.2647261908895562,0.29130400444590643,0.27244614122414657,0.3279967407014947,0.25578365879827275,0.2215575164495463,0.24416093770392033,0.30850898969868984,0.165592433260014,0.36885919598340283,0.32917825084686325,0.15990477717014165,0.3059385830776206,0.1492438103134187,0.28488065674512575,0.27300415342798784,0.3238786780998472,0.2936020990261003,0.20220653506754313,0.1927636092282187,0.20317672538120582,0.3966987225760736,0.42000332147028985,0.5898735195183098,0.4441731912309614,0.4572981265728013,0.25156174982419505,0.27470762024849166,0.2603807404573115,0.23830382098313532,0.3499757382324341,0.383446568018309,0.15101514540896185,0.20844449809805324,0.36762128768132285,0.40395514512401715,0.30509132044261256,0.29659091426865675,0.3812045090211763,0.3798099376466355,0.330778268906201,0.29383320544873537,0.2755843354702933,0.27694395595989574,0.2602591480590135,0.3556264432246829,0.29071489480374874,0.30031737974996603,0.24040199085635777,0.2984083905716071,0.17932082483055722,0.11472764304074981,-0.17703441522514285,-0.10740749044869506,-0.06900929909773518,-0.19414690921035846,-0.10620523387150269,-0.0534214592954194,-0.12747481638124028,-0.08255406142889886,-0.1634902491720244,-0.18593422106267402,-0.1808070912132933,-0.17909832297625278,-0.12796167219476257,-0.08683147939882566,-0.15846428183384093,-0.15036661265827173,0.0969782453943458,0.09415151797732305,0.0566362494233826,0.07929264418291385,0.1137741546004982,0.12924204641317524,0.10288360239831283,0.07825245577627121,-0.02287713573153973,0.07555149484838242,0.04684782915199187,0.06033802318520713,0.09091224612998025,0.10822208750239627,0.021935908898102353,0.11654218698391197,-0.08498349908986215,-0.019534809953771867,-0.1166290817439724,0.03426947445870331,0.03185482001836664,0.03542061261564683,0.03794772534303885,0.0788026161419233,-0.02527137287250657,0.022120398056939335,0.02962799166523416,0.15544541375817672,0.11246260752550562,0.10814456457932686,0.05279181645097425,0.07392360707826348
7Networks_LH_SomMot_9,0.5329753221926824,1.0,0.1797566363302006,0.39498532399655495,0.5393126545983756,0.31386010349566296,0.2922440813181625,0.4526454447423394,0.22086588290624184,0.38649337198386774,0.3684216878120931,0.35813288209146993,0.3415610668483803,0.38878851015781574,0.3586172832455168,0.22976317581103659,0.2925125575107996,0.45846687975317507,0.3145980444238127,0.3877177867398773,0.4298440004102074,0.17963677008549678,0.43762423583158205,0.15653852640846933,0.3356848597385744,0.27156067216788354,0.38641070110565107,0.3638315392324266,0.2472141451283576,0.18438128457497022,0.16607689649324348,0.44957827308696713,0.4563755086471076,0.6797774986923051,0.5554958493808568,0.544544374124511,0.21725795639796588,0.33706052168512224,0.33206432217392323,0.339723059316927,0.43597708360523263,0.3599925499498955,0.3067255417714627,0.2877885853038173,0.49131034500067927,0.5065051441243061,0.38274064869527397,0.3994456022056803,0.4471655113262408,0.4643181658503495,0.42222938779867847,0.32704584271535964,0.33490420671631727,0.24394642948243356,0.30337534345797834,0.3867444745612736,0.3214872769672457,0.3738700628355384,0.36406999477626817,0.3278447532843828,0.16800439678289905,0.1533914424623172,-0.12427745682414108,-0.007603026651891916,-0.0031875641207088283,-0.09229327329900303,0.013498434444506909,0.05859033921645754,-0.046197606800102556,0.07881043037020961,-0.06090528077540111,-0.05329409440049982,-0.012752070239056003,-0.09849334648787075,-0.062397000875881604,-0.018836659583828377,-0.042119100815315814,-0.024107313719985757,0.09713233020838263,0.11696668741228333,0.10121255839831773,0.09825724286400149,0.12161862437268418,0.1625051128812807,0.10673945736647127,0.12598304087480916,0.035144540982248514,0.10586577288470414,0.09300128141804576,0.04031032360353622,0.044882528135434224,0.041217273928638554,0.021624006602270533,0.08872992543582811,-0.013220720922398654,-0.02604123435216037,-0.06831115312515994,0.02995127950696155,0.03621895758634437,0.06995420043992394,0.023606139469610106,0.08801152596911375,0.04777559340229322,0.04773116198812343,0.053140839872427306,0.09475411710177085,0.08935711380387264,0.0978494305014382,0.03616776736051345,0.05416821589942433
7Networks_LH_SomMot_10,0.27818068478580454,0.1797566363302006,1.0,0.22265895687206202,0.16718237277147976,0.058310991746820626,0.06881844849159151,0.09226883862356958,0.11480190397848944,0.06271775075056733,0.10122295191747192,0.03301963952506303,0.043901576397975775,0.14100348070336308,0.02527654808379726,0.0739454587659589,0.12445185794390402,0.05009713242755124,0.06724444505118503,0.051639334353106206,0.11580179432705133,0.02554301874696678,0.0465912175868688,-0.018413496942183066,0.027527358082015854,0.06785419392154436,0.05792570681878077,-0.01602932366739353,-0.05586045706083717,0.06278022076175499,0.12211128162533323,0.18464957501459667,0.2645725162619185,0.2101540066322121,0.2425445893183867,0.2627068411926671,0.06811430163402894,0.15838452772435221,0.12947925116882403,0.09283755715928216,0.11187931816421116,0.20000073132287127,-0.04189099163781087,-0.005535849074560302,0.06803414569160515,0.026150460829438726,0.05231899202579115,0.03757863142461258,0.1335834008253283,0.04515297222703874,0.05923154175711074,0.02309285079559008,-0.008522210339876074,0.00330942215041756,0.09087007502425322,0.16097946846743422,0.052851625435165674,-0.03106752180866854,-0.022719537657802085,0.07924329860128049,-0.021740676527602254,-0.011596484463268728,-0.18123345878214808,-0.18373892639649686,-0.11848571259666847,-0.24954262152382423,-0.2657976285212041,-0.22834173814491057,-0.20486295159624762,-0.15569027764476304,-0.18911399962407077,-0.21832627063242746,-0.13720798342292737,-0.1430273389799613,-0.1895348835304274,-0.15662681995325622,-0.181478310674696,-0.14128992354402684,0.02997584173968197,0.05310405316678792,0.08166608502738794,0.01644101807666036,0.0014628420957586677,-0.024586281771238592,0.03140096211714561,0.02657031239648102,-0.04444425933483215,-0.062140208553872894,-0.062101095218142166,-0.005177102318462322,0.010644018260806817,0.027482039056377965,-0.07103028769763926,0.06289950448683566,-0.004172165035845985,0.033678209237332536,0.05885599321301595,-0.11121564377314573,-0.10267303682791667,-0.056366954728495705,-0.018217647952706657,0.13303375130567865,0.03371261897392878,0.094876090699797,0.09133669862368873,0.0497289648716727,0.0697828038561872,0.04737163964417045,0.11487954988808398,0.10662113987709619
7Networks_LH_SomMot_11,0.2963076487000073,0.39498532399655495,0.22265895687206202,1.0,0.5256224138526806,0.7022531177326153,0.536686932520418,0.5428978332360893,0.1570404216556004,0.6019000017397789,0.16637947880182655,0.2315147885418934,0.25813239069865285,0.1993477330721947,0.16111869630583914,0.05414821180602253,0.07894356593715347,0.21070089860263524,0.11806325705076803,0.10044897927409185,0.2891353538013982,-0.0013430337474527928,0.2355994262032681,0.10172771986391407,0.09597321610867966,0.15099972802530762,0.13338158852558013,0.1825199358569069,-0.024212717609798595,0.16706785341446004,0.20351951634964432,0.31262615468565697,0.28031133553414583,0.30640995305074104,0.420195466485878,0.622285317137456,0.131674342788569,0.7161573956676798,0.626135106452407,0.6363441782337527,0.6212833837715388,0.159448672330922,0.22841592495114926,0.15083689326142125,0.3752594635606848,0.15990306505698762,0.22094510354524394,0.1492805722697908,0.3090215853459173,0.18725966900486749,0.30876506008036014,0.14981895137747248,0.12592170783176065,0.14938349216671656,0.17272365977420948,0.311987629963875,0.17867847036406187,0.07387390604045302,0.07254486841908021,0.1737907697599807,0.008942083145661138,0.06560846645143804,-0.15535728890659004,-0.07362401547096908,-0.06331291257737813,-0.09855592444180113,-0.08040093983985111,-0.05208393660113882,-0.13411391356991084,-0.034627771201041706,-0.09981105260566506,-0.12464815609263552,-0.07276903818822643,-0.11486897314492717,-0.11735746944912069,-0.09734633496688708,-0.11727039733210536,-0.09174639898139408,0.04205357463982376,0.029642640074335903,0.05992927739615381,-0.005336849547854971,-0.03184617274643485,0.029203210059587443,-0.02543941617247539,0.011428133287236351,-0.04955123890124699,-0.05477016838483435,-0.04052469089233944,-0.07170582066680872,-0.07201761246981729,-0.04610139802809516,-0.0879877009681614,-0.08518393844743927,-0.022606989336462303,-0.11293519368776914,-0.054386825748843036,-0.08545561455867795,-0.0936495714047016,-0.04071080961589289,-0.09775216361769927,-0.03646154979713664,0.03729981255148638,0.05991478547699073,0.0175598127456707,0.09012544149423253,0.0747828611357533,0.057984918497991304,0.08874174214507201,0.09101281059919372
7Networks_LH_SomMot_12,0.37027635563128336,0.5393126545983756,0.16718237277147976,0.5256224138526806,1.0,0.5072941874271393,0.4448467387552869,0.541538807614264,0.25457836683176605,0.5341789862488421,0.18361406794584526,0.2896171927870317,0.3946507700189602,0.4427175831996246,0.3464192586733239,0.1273951562622122,0.16461574750508332,0.3964535042174233,0.3091631181836232,0.4180337930302294,0.4610092392105684,0.16072753193527206,0.4368091675240607,0.16080133910784283,0.25476901310211125,0.2674497606137412,0.31540553240858016,0.30502978880183623,0.1790681319322422,0.17715437311911814,0.13657069703667582,0.25368373543487416,0.31512178777782307,0.46591367535817874,0.3300503701830548,0.4257769976611534,0.22922218374099196,0.53859836908992,0.4754041927147719,0.4777032284519526,0.5546326169230051,0.3000418410399587,0.23650986403309662,0.21111827586630333,0.43100072590950883,0.4206882046613233,0.3299256210805598,0.37701216702573076,0.4703943123747751,0.4065837392911534,0.4137443004396857,0.30199234487798227,0.3316832339956161,0.22727037107366038,0.33392069647686834,0.41963082889847,0.26464163618651554,0.24639681582544676,0.2924502127388783,0.3053660333757932,0.16671221830701533,0.14322627561906698,-0.055301797171130304,0.036508961359301144,0.05496070400947103,-0.00946595668828708,0.044774131534689995,0.06859544186043771,-0.0009871917098333409,0.0922674473854094,-0.04509369263347555,-0.06587987595905004,-0.03484296776617389,-0.07820315915422532,-0.02813189187516106,0.057583265229364425,-0.024457338791393436,0.015272981146870165,0.05958675102762458,0.10500861327119915,0.11445342751806899,-0.0013964249664620673,0.04751092559509683,0.09914111660506922,0.031885529211626976,0.11143892133664605,0.02352368132239634,0.09888484343659064,0.06286936435528842,0.06578344733490334,0.08369624375576314,0.1179960244248985,0.0719474940153605,0.12935330828129118,0.002870369983053204,0.040084378776684006,0.048772867520843304,-0.017492706841213065,-0.0005421852735366334,0.06424423668966323,0.00743254155657844,0.07610726467929907,0.021639190437431597,0.03311054615197314,0.03210616873515502,0.03836836421452646,0.03604160818079934,0.0029973931333228056,0.023267304991010457,0.06309386505853867
7Networks_LH_SomMot_13,0.14903753715110335,0.31386010349566296,0.058310991746820626,0.7022531177326153,0.5072941874271393,1.0,0.6229867974740523,0.6304516203082172,0.21520221236767823,0.6335311121185409,0.13086657248523,0.23730529349000956,0.3246569093387772,0.19646104205693088,0.16888760456747237,0.08878593246904101,0.03326337662380488,0.20697779505409872,0.17594692163090198,0.062490460321470084,0.2374514484946323,0.05351033309626576,0.20030565787833943,0.1981133994734357,0.1344875277393861,0.13589063997513637,0.14829422452324748,0.24249802559662306,0.04163207002578436,0.2321791932427368,0.14130325995138318,0.20730499678309433,0.16158971014939277,0.21736215304098608,0.25891736895548656,0.44272541842318863,0.16112066492615096,0.7028793156351064,0.6724225401894998,0.6447742911889907,0.628140980695827,0.0995762386406394,0.2703962676274038,0.10400014232604529,0.3779468932308303,0.15953273341402258,0.18969973548326108,0.1422257575684733,0.25818318218067876,0.1481575146646064,0.24444282121230168,0.17219490539546561,0.16213733180139306,0.15254705872421392,0.19435986343884862,0.2726460268828638,0.21168600612951913,0.06619826656799255,0.1281875866837985,0.14402792526174055,0.09600132926619137,0.12884718985009708,-0.07568845825103505,-0.018898993142075698,-0.05300730121304282,-0.04657145795547982,-0.029620373564512692,-0.016141149651632502,-0.0758021290192965,-0.00787124296062145,-0.0898857125601416,-0.07794498740573504,-0.05430661324842399,-0.08722828009361219,-0.048930666248945154,-0.02727589257133563,-0.0748019429129535,-0.04840795478494806,0.031367572667971945,0.049416646793787766,0.062483519516647865,-0.03253468885943858,-0.0397076730418556,-0.015255463078923451,-0.041009696458029384,-0.02902849491707768,-0.012393162643612657,-0.04843206172741647,-0.016891874822184134,-0.09616711109461895,-0.08671145213808205,-0.08228057291225266,-0.08683744203940885,-0.10797932833386285,-0.0127731908465761,-0.044387468288973636,0.02122992426398421,-0.09880681111022485,-0.10660909365408727,-0.06148513402158905,-0.07479771960447182,-0.0813410826069691,0.0007893245033554955,-0.004721247726577529,-0.05689923069477734,-0.018287917310974493,-0.018351492143915016,-0.03727162397001733,-0.021299604484244807,0.011435046600582274
7Networks_LH_SomMot_14,0.12285612068861691,0.2922440813181625,0.06881844849159151,0.536686932520418,0.4448467387552869,0.6229867974740523,1.0,0.5681197678267467,0.3785589037592191,0.6385727201711147,0.13119979838404813,0.19460409810180584,0.3072286670938331,0.31153591989027946,0.24630718461265871,0.04069403226658362,0.08811955625428557,0.2605414108703871,0.22757769405765704,0.17768223932703106,0.3200979868055823,0.0931810690200652,0.29114107252659077,0.19790649774525723,0.09750929522497774,0.1769828311668744,0.10808156299350007,0.2629057801685735,0.061529361080252046,0.2265368506554999,0.1471761072999992,0.16342688771645444,0.18171680005032417,0.23782379078243598,0.17829513295116978,0.453921573240258,0.09380184052092426,0.6233920437038037,0.6453009696409121,0.6101690150604638,0.50880825324211,0.10518365550397842,0.1415661633039593,0.14067455620101585,0.36504535933729765,0.18945513103147296,0.2390153336687745,0.2555830594535641,0.3523573333311541,0.2702159280282616,0.3325957665365381,0.20174863177178282,0.22391607504868782,0.1254888931261638,0.14799349205226547,0.27110189203444474,0.19702736311845018,0.007929073088533092,0.1811223181437055,0.17147611246360195,0.017054667839546237,0.22402276381348235,-0.022596773805666916,0.028541860005442097,0.038109817259847266,0.02700907054727086,0.024544577113500728,0.04033819780292401,0.0018846081892253113,0.05314853673886699,-0.01600358148874193,0.036609055541752145,0.01846099813443041,-0.05931048981111517,0.0045960471496973325,0.02218151329993477,-0.011472597270181786,0.021692695857312684,-0.00043842162054766277,-0.010909387184679084,0.042633345721007916,-0.08821616715078744,-0.10511774334128074,-0.020507281196617325,-0.03711458637907212,-0.02320712315111589,0.04677529256746185,0.002096493408675877,0.05189490318349901,-0.06690329254623635,-0.050100557358864595,-0.0245824182965057,-0.039350324896647915,-0.05332008612366797,0.018910211431346975,0.017313510837286362,0.03623469418343528,-0.07677285141668086,-0.003144127734486603,-0.03632170799154348,-0.05119869016129913,-0.06257886509915203,-0.033420528251627286,-0.05659366115696393,-0.0948248475125847,-0.11578612359042079,-0.09743339705266993,-0.12292060445139912,-0.10165211960713146,-0.08576227367575213
7Networks_LH_SomMot_15,0.2941792983688892,0.4526454447423394,0.09226883862356958,0.5428978332360893,0.541538807614264,0.6304516203082172,0.5681197678267467,1.0,0.255278496642181,0.7423845615727658,0.29703946329479636,0.35903907696392023,0.5053430707017368,0.5062968916194344,0.49012753827888395,0.1673686667708051,0.25296860164200163,0.33493498491042833,0.41893251026175415,0.3294090031496647,0.5787821421960179,0.2342516650252594,0.42435710158893064,0.2787748090838204,0.3906867492271746,0.39005582480189915,0.37950552272642957,0.3870815605274571,0.26914687491195455,0.36260326228381234,0.20155558525473236,0.26515735426258663,0.3153417450305612,0.41035949140262085,0.35976004892051766,0.510105759551037,0.1268549350835639,0.6189359368306726,0.6297566849226295,0.6203956093827481,0.7323153768014051,0.3093321575082492,0.285575686679284,0.24526987843211492,0.592700396990572,0.413685060764188,0.40975346503540244,0.38922922721679165,0.5089450648434306,0.3833761056199678,0.49749485253720527,0.42857079846914264,0.3403471639109497,0.3346126534150023,0.3078409602621588,0.4413609801407976,0.31743048368405785,0.2666687153953316,0.3191751612878858,0.4217033059167919,0.19383372087845574,0.2787308380410777,-0.1297136264707616,0.0019356388501678167,-0.006649417022461877,-0.13911790238640315,-0.04062451260607818,0.005728352195673711,-0.0809612661199686,0.032861006686939656,-0.0696722199784923,-0.025803442159243264,-0.004830351861232019,-0.06783393195348131,-0.005107614621203739,0.02525109637118148,-0.05643293353579796,-0.007794595327601568,0.024329632635212973,0.04619721541981697,0.08108296181742468,-0.02190703325661231,-0.03806695868563877,-0.004172498268060517,-0.02008541185140139,0.0004953837491010817,0.03499677870703548,0.0587330542646114,0.013762705797709902,-0.11310862036571076,-0.03891051416110024,-0.03448514488240026,-0.038663901744503064,-0.00904950258133449,0.028856661211008085,-0.03627741423896245,-0.0051781687009838685,-0.08034867874045841,-0.09413391689478141,-0.07423456678052737,-0.04756063606657916,-0.0994011458754494,0.009998747024612994,-0.04269246016193035,-0.022426696661438712,-0.054421996287418846,-0.04679497817586215,-0.045633542510000805,-0.031701807086869836,-0.04036311337532105
7Networks_LH_SomMot_16,0.07337885043782552,0.22086588290624184,0.11480190397848944,0.1570404216556004,0.25457836683176605,0.21520221236767823,0.3785589037592191,0.255278496642181,1.0,0.36674825778017167,0.3082597459648886,0.275559503201795,0.3632006693123965,0.33077955314728436,0.22393286621883077,0.25880056919125577,0.280886304038985,0.44316002393400494,0.3571565133230583,0.24546102745025003,0.3543943878657566,0.27688062997854285,0.3503046279437531,0.26529033605056807,0.2282254556026019,0.24521192153738475,0.18355707315458236,0.30409039586931014,0.25442003092837867,0.27353620642955623,0.08433621170482997,0.17233845974422266,0.06007983524074045,0.1856568479894095,0.07217695966738434,0.19560939880864595,0.27759576866155056,0.19681581602790077,0.22637900349592807,0.26438041839418713,0.2520926989463639,0.10894559418469481,0.18887353495689413,0.312541445885034,0.3411031427278246,0.3766364413214807,0.3525369150094326,0.3938118920725295,0.36966064783688624,0.36060692666980815,0.42321783893587095,0.3117262673815281,0.3387964892052345,0.25702022544816855,0.2623745115115864,0.28120094076443836,0.23043756171835586,0.06938996377684328,0.34671632602138314,0.2468040738094742,0.115485137611813,0.28524201952608036,-0.1024282391235965,-0.08550477820485418,-0.0715803182391043,-0.04418107033765723,-0.06322337796333573,-0.02661445554468494,-0.09301666946722167,-0.04210440497639193,-0.027730923429141397,0.01142983198479287,-0.014579719204179638,-0.04387516783548551,0.00886754566696177,0.06523823720423037,-0.01862888965572723,0.028267407321327,-0.03558676576174122,0.024200797908388593,0.06478003007111419,0.03505076906463494,0.01941233734189345,0.029370273464565857,0.04045564993310552,0.06776957962727802,-0.09151277859914748,-0.07459550369734542,-0.042475987353437675,-0.17323310179132254,-0.1277693357156189,-0.03316990279730057,-0.11498050317482159,-0.04594452296065194,-0.03626673949146134,-0.05574896498970248,-0.050218616010888006,-0.13346373360736802,-0.09753182905342257,-0.06507882517071278,-0.07218773818937643,-0.14708241129425248,-0.09930338259601847,-0.1842988838431707,-0.20888393191715007,-0.12243676355160683,-0.17208145133106464,-0.16777736550226863,-0.19604081015374963,-0.19469344974667332
7Networks_LH_SomMot_17,0.24977118220154723,0.38649337198386774,0.06271775075056733,0.6019000017397789,0.5341789862488421,0.6335311121185409,0.6385727201711147,0.7423845615727658,0.36674825778017167,1.0,0.22165176455399463,0.39250672151427735,0.47567888140302406,0.41147414153192435,0.43189321212342396,0.17519442727538573,0.22989967130336483,0.3251441712900682,0.33550153794928955,0.31499860286663645,0.5298607072495025,0.16881388269840356,0.3887989324414609,0.26219270070374445,0.3229646090100176,0.4222239071682343,0.2952764187857716,0.3463124340763417,0.2383010385310137,0.333719891592422,0.1872016699958235,0.2706249223317168,0.24206090997183738,0.3685018812381372,0.34467443260427943,0.5030220937906741,0.1681896461956101,0.6759923917360474,0.6796173164986605,0.6882869969086669,0.6997276641017589,0.23568317231242703,0.3076235830823852,0.23236098612812212,0.6023219784998727,0.3257574606926362,0.42331181302475135,0.3822725639482186,0.5139230026896697,0.3679077569229437,0.4931222342256403,0.36300272757540625,0.343495249595421,0.31235639447401836,0.25105557708108195,0.4268790966905402,0.3315591970222893,0.19819348941775636,0.3213237736135237,0.4251794847618638,0.1467091170435818,0.2559244365099309,-0.14819831493457378,0.01629806955693186,-0.010300901353341652,-0.08610242752702602,-0.017865497551709113,0.006872402669562021,-0.07933569371623571,0.023268805514985808,-0.058145396583453995,-0.04370310963864357,-0.033900757345413576,-0.0785727896568094,-0.018703694306538763,0.017874582547952045,-0.06849383805323676,-0.05140515527007194,0.021446422820408238,0.03376212816875757,0.04906135361367318,-0.026996355185959605,-0.04787081361790976,0.01598348837817891,-0.028498693541682888,-0.013944393424078997,0.04162360255071154,0.032105611701964465,0.035765256569604664,-0.0766034548895158,-0.02973908017764722,-0.0011989729903794223,-0.05180583004750912,-0.008010763944659802,0.01567576343046695,-0.016112004131618066,-0.009776252271178067,-0.09175258204017826,-0.05459114885801382,-0.03405147561953701,-0.02533236756236601,-0.03131966379929509,-0.001469632597443267,-0.016685684095202404,-0.042363478137135424,-0.006834624821207926,-0.04734418876418395,-0.08882669169351674,-0.01628025524326661,-0.026200750720384237
