,7Networks_LH_SomMot_8,7Networks_LH_SomMot_9,7Networks_LH_SomMot_10,7Networks_LH_SomMot_11,7Networks_LH_SomMot_12,7Networks_LH_SomMot_13,7Networks_LH_SomMot_14,7Networks_LH_SomMot_15,7Networks_LH_SomMot_16,7Networks_LH_SomMot_17,7Networks_LH_SomMot_18,7Networks_LH_SomMot_19,7Networks_LH_SomMot_20,7Networks_LH_SomMot_21,7Networks_LH_SomMot_22,7Networks_LH_SomMot_23,7Networks_LH_SomMot_24,7Networks_LH_SomMot_25,7Networks_LH_SomMot_26,7Networks_LH_SomMot_27,7Networks_LH_SomMot_28,7Networks_LH_SomMot_29,7Networks_LH_SomMot_30,7Networks_LH_SomMot_31,7Networks_LH_SomMot_32,7Networks_LH_SomMot_33,7Networks_LH_SomMot_34,7Networks_LH_SomMot_35,7Networks_LH_SomMot_36,7Networks_LH_SomMot_37,7Networks_RH_SomMot_9,7Networks_RH_SomMot_10,7Networks_RH_SomMot_11,7Networks_RH_SomMot_12,7Networks_RH_SomMot_13,7Networks_RH_SomMot_14,7Networks_RH_SomMot_15,7Networks_RH_SomMot_16,7Networks_RH_SomMot_17,7Networks_RH_SomMot_18,7Networks_RH_SomMot_19,7Networks_RH_SomMot_20,7Networks_RH_SomMot_21,7Networks_RH_SomMot_22,7Networks_RH_SomMot_23,7Networks_RH_SomMot_24,7Networks_RH_SomMot_25,7Networks_RH_SomMot_26,7Networks_RH_SomMot_27,7Networks_RH_SomMot_28,7Networks_RH_SomMot_29,7Networks_RH_SomMot_30,7Networks_RH_SomMot_31,7Networks_RH_SomMot_32,7Networks_RH_SomMot_33,7Networks_RH_SomMot_34,7Networks_RH_SomMot_35,7Networks_RH_SomMot_36,7Networks_RH_SomMot_37,7Networks_RH_SomMot_38,7Networks_RH_SomMot_39,7Networks_RH_SomMot_40,C3 GM left dorsal horn,C3 GM left intermediate zone,C3 GM left ventral horn,C3 GM right dorsal horn,C3 GM right intermediate zone,C3 GM right ventral horn,C3 WM ascending,C3 WM descending,C4 GM left dorsal horn,C4 GM left intermediate zone,C4 GM left ventral horn,C4 GM right dorsal horn,C4 GM right intermediate zone,C4 GM right ventral horn,C4 WM ascending,C4 WM descending,C5 GM left dorsal horn,C5 GM left intermediate zone,C5 GM left ventral horn,C5 GM right dorsal horn,C5 GM right intermediate zone,C5 GM right ventral horn,C5 WM ascending,C5 WM descending,C6 GM left dorsal horn,C6 GM left intermediate zone,C6 GM left ventral horn,C6 GM right dorsal horn,C6 GM right intermediate zone,C6 GM right ventral horn,C6 WM ascending,C6 WM descending,C7 GM left dorsal horn,C7 GM left intermediate zone,C7 GM left ventral horn,C7 GM right dorsal horn,C7 GM right intermediate zone,C7 GM right ventral horn,C7 WM ascending,C7 WM descending,C8 GM left dorsal horn,C8 GM left intermediate zone,C8 GM left ventral horn,C8 GM right dorsal horn,C8 GM right intermediate zone,C8 GM right ventral horn,C8 WM ascending,C8 WM descending
7Networks_LH_SomMot_8,1.0,0.5329720124228553,0.27817895728736575,0.2963058086333581,0.37027405621992504,0.14903661162993373,0.12285535775370342,0.2941774715192679,0.07337839475611754,0.24976963112575043,0.26472454694334974,0.29130219545182306,0.2724444493371488,0.3279947038459958,0.25578207038507444,0.22155614058024733,0.244159421467669,0.30850707386187154,0.1655914049331546,0.3688569053725875,0.3291762066542017,0.1599037841635527,0.305936683202994,0.14924288351129544,0.2848788876399481,0.2730024580757415,0.32387666681746363,0.29360027576087944,0.20220527936758714,0.1927624121687095,0.2031754636563806,0.3966962590821597,0.4200007132551196,0.5898698564114164,0.44417043292121394,0.45729528675737585,0.2515601876289966,0.27470591431773855,0.26037912349629583,0.23830234111950274,0.3499735648876461,0.38344418682010284,0.15101420760687062,0.20844320366042787,0.367619004757902,0.40395263656781355,0.3050894258294759,0.29658907244293203,0.3812021417461274,0.3798075790318567,0.3307762147774481,0.2938313807483466,0.27558262409515005,0.2769422361415269,0.260257531853085,0.3556242347890903,0.29071308946802854,0.30031551478293905,0.24040049796311755,0.2984065374593782,0.1793197112505645,0.11472693058357691,-0.1770333158437241,-0.10740682344957467,-0.06900887055088425,-0.19414570356057437,-0.10620457433838001,-0.05342112754885116,-0.12747402476428654,-0.06594331861366085,-0.16348923389970088,-0.18593306641357663,-0.18080596840360566,-0.1790972107779937,-0.12796087755444055,-0.08683094017646659,-0.1584632977727093,-0.14878351583949398,0.0969776431607017,0.09415093329761949,0.05663589771300942,0.07929215177662353,0.11377344806447612,0.12924124382174595,0.10288296349247847,0.07825196982953739,-0.022876993664824027,0.07555102567458086,0.04684753822758142,0.06033764848686698,0.09091168156611279,0.10822141544463876,0.021935772676393055,0.11654146325844476,-0.0849829713434368,-0.019534688642855822,-0.11662835747888986,0.034269261645712104,0.03185462220034815,0.03542039265410263,0.037947489688157435,0.07880212677870074,-0.025271215937609323,0.02212026068955476,0.029627807675790804,0.15544444844417662,0.11246190913417384,0.10814389300298569,0.05279148861447989,0.08163049046089182
7Networks_LH_SomMot_9,0.5329720124228553,1.0,0.1797555200438241,0.39498287114282404,0.5393093054737965,0.3138581544284975,0.29224226648621393,0.45264263382000774,0.22086451133197818,0.3864909718650485,0.36841939991819783,0.3581306580909245,0.34155894575859225,0.3887860957862183,0.3586150562368465,0.22976174898469956,0.2925107410116174,0.45846403267980756,0.31459609077404366,0.38771537901745834,0.42984133108454886,0.17963565454348812,0.43762151819076256,0.15653755430625385,0.3356827751399562,0.2715589857796371,0.38640830150021693,0.3638292798432944,0.24721260993172783,0.18438013956958824,0.1660758651578737,0.4495754812117315,0.4563726745611275,0.679773277282869,0.5554923997588485,0.5445409925110216,0.217256607228879,0.3370584285436612,0.33206226005879624,0.3397209496411418,0.43597437619320706,0.3599903144008368,0.30672363700983285,0.2877867981404411,0.49130729396981926,0.506501998733941,0.3827382718808176,0.3994431216536797,0.44716273443422444,0.46431528244057135,0.4222267657596653,0.3270438117649249,0.33490212696554417,0.2439449145782755,0.3033734595010365,0.38674207288311063,0.32148528053543207,0.37386774110730503,0.36406773390633007,0.3278427173727238,0.1680033534777775,0.15339048990345217,-0.12427668506274865,-0.007602979437195176,-0.0031875443259770475,-0.09229270015897478,0.013498350619404362,0.05858997537121213,-0.04619731991356447,0.09500464175946065,-0.06090490255439869,-0.053293763444865916,-0.012751991048865477,-0.09849273484546855,-0.062396613391316746,-0.01883654260841706,-0.042118839256246904,-0.025159003490811894,0.09713172701787386,0.11696596105067397,0.10121192986964489,0.09825663268779973,0.12161786912260673,0.16250410372664076,0.10673879451582764,0.12598225852176193,0.035144322735105565,0.10586511545962979,0.0930007038812963,0.040310073276950305,0.04488224941551756,0.041217017969902896,0.021623872317470445,0.08872937442414382,-0.013220638821893472,-0.026041072636433335,-0.06831072891378642,0.029951093509904898,0.03621873266708826,0.06995376602524796,0.023605992875790658,0.08801097941868082,0.04777529671647883,0.047730865578227546,0.05314050986850203,0.09475352867993457,0.08935655889735672,0.09784882285774592,0.036167542759147984,0.0532668184090155
7Networks_LH_SomMot_10,0.27817895728736575,0.1797555200438241,1.0,0.22265757416283233,0.16718133457111664,0.058310629636319375,0.06881802112992036,0.09226826563528034,0.11480119106015708,0.06271736127414991,0.10122232332425546,0.03301943447353053,0.04390130376975666,0.14100260507357965,0.02527639111676202,0.07394499956562056,0.12445108509948291,0.050096821325009665,0.06724402746405482,0.0516390136735107,0.1158010751994129,0.025542860125152184,0.04659092825601283,-0.01841338259460626,0.027527187137479762,0.06785377254788158,0.05792534710089392,-0.016029224125501788,-0.055860110168124484,0.06277983089739962,0.12211052331586064,0.18464842834313455,0.26457087327002954,0.21015270157856092,0.24254308311963785,0.262705209786596,0.06811387864510064,0.15838354415849257,0.1294784471043563,0.09283698063925822,0.11187862339509876,0.1999994893209279,-0.04189073149529699,-0.005535814697009463,0.06803372320044421,0.026150298435416688,0.05231866712553033,0.037578398061799606,0.1335825712741445,0.04515269182766778,0.05923117393000589,0.023092707389286635,-0.008522157417060573,0.0033094015989489976,0.09086951072226779,0.16097846878702626,0.0528512972272583,-0.031067328879761692,-0.02271939656976837,0.0792428065014256,-0.021740541518283443,-0.011596412449250856,-0.18123233332472338,-0.18373778538015084,-0.11848497680193244,-0.24954107186738628,-0.2657959779213838,-0.228340320145683,-0.20486167939997948,-0.1427020215000436,-0.18911282522858983,-0.21832491482912303,-0.13720713136313273,-0.14302645078204426,-0.18953370652126286,-0.15662584730273899,-0.18147718369674423,-0.13199593949205496,0.029975655590094175,0.05310372339130761,0.08166557788206082,0.016440915978151685,0.0014628330115282564,-0.024586129090748185,0.03140076711757878,0.026570147395186205,-0.04444398333655904,-0.06213982266398502,-0.0621007095711476,-0.005177070168724178,0.01064395216159169,0.027481868393272435,-0.07102984660047539,0.0628991138817299,-0.004172139126755311,0.03367800009609068,0.05885562771806267,-0.11121495312544266,-0.10267239922969176,-0.05636660469043908,-0.018217534821349527,0.13303292516781126,0.0337124096190029,0.09487550152050625,0.0913361314239768,0.04972865605544686,0.06978237050588178,0.04737134546690365,0.11487883648757154,0.11534103408990873
7Networks_LH_SomMot_11,0.2963058086333581,0.39498287114282404,0.22265757416283233,1.0,0.5256191497443188,0.702248756749877,0.536683599701539,0.5428944618475975,0.15703944643662196,0.6018962639485871,0.16637844558742457,0.23151335083806407,0.2581307876998599,0.19934649512536198,0.16111769576082813,0.05414787554633064,0.07894307569863453,0.21069959015279205,0.11806252387947545,0.10044835548723546,0.2891335582746072,-0.001343025407230668,0.23559796313389197,0.10172708813609523,0.09597262011625439,0.15099879031895816,0.13338076022764808,0.18251880241047627,-0.024212567249136775,0.16706681592526065,0.20351825249609165,0.3126242132812976,0.2803095948043936,0.30640805024891304,0.42019285707748977,0.6222814527537205,0.1316735250926108,0.716152948339556,0.6261312181615298,0.6363402265446724,0.6212795256097965,0.15944768215673816,0.22841450649122258,0.15083595656627358,0.37525713320429094,0.15990207206103085,0.22094373147902113,0.14927964523937626,0.3090196663258867,0.18725850612475559,0.3087631426533481,0.14981802100373065,0.12592092585959083,0.1493825644971708,0.17272258716252606,0.31198569252474584,0.17867736077308205,0.07387344728445618,0.07254441791638973,0.17378969052155815,0.008942027615440967,0.06560805902371367,-0.1553563241398441,-0.07362355826678943,-0.0633125194050135,-0.09855531241079064,-0.08040044055105916,-0.05208361316056913,-0.13411308072424982,-0.030742137856943835,-0.09981043278032499,-0.12464738202920544,-0.0727685862934446,-0.11486825981009616,-0.11735674066075995,-0.09734573044741152,-0.11726966908446133,-0.09687007568371246,0.042053313487671544,0.029642455993926117,0.0599289052361197,-0.005336816406088608,-0.0318459749821158,0.029203028708032343,-0.025439258194031436,0.011428062318677096,-0.04955093118869712,-0.054769828262800184,-0.04052443923453544,-0.07170537537459389,-0.07201716524137941,-0.046101111739012296,-0.0879871545656814,-0.08518340945628809,-0.022606848947352202,-0.11293449236168343,-0.05438648800736166,-0.08545508388042167,-0.09364898984207974,-0.04071055680229404,-0.09775155657803307,-0.03646132337138606,0.03729958092013498,0.05991441340695124,0.01755970369946166,0.09012488181641164,0.07478239673515713,0.057984558412400695,0.0887411910600061,0.09507552137360824
7Networks_LH_SomMot_12,0.37027405621992504,0.5393093054737965,0.16718133457111664,0.5256191497443188,1.0,0.5072910371368254,0.4448439762628181,0.5415354446653037,0.25457678590341515,0.5341756690042767,0.1836129277048686,0.2896153942680268,0.3946483192428052,0.4427148339291841,0.34641710741422777,0.12739436513994676,0.16461472524342977,0.39645104224631234,0.3091611982846755,0.41803119704580527,0.4610063763491817,0.16072653381938667,0.4368064549448048,0.1608003405336159,0.2547674309898495,0.26744809975420214,0.3154035737443212,0.3050278945708103,0.1790670199214691,0.1771532729927624,0.13656984893442137,0.25368216006217265,0.3151198308756146,0.4659107820403072,0.33004832057454353,0.42577435359152904,0.22922076027420865,0.5385950244010447,0.475401240460911,0.47770026192110965,0.5546291726616591,0.3000399777840236,0.23650839530991338,0.21111696482455275,0.4309980494005999,0.4206855921930373,0.32992357224673885,0.37700982578507114,0.47039139123220597,0.40658121441141415,0.41374173109295476,0.30199046950944364,0.33168117424704174,0.2272689597276084,0.333918622833681,0.4196282229964738,0.2646399927653927,0.24639528570442132,0.2924483966268563,0.30536413705669285,0.16671118302630533,0.14322538618575598,-0.05530145374768827,0.03650873463912537,0.0549603627042131,-0.009465897904819014,0.044773853487914815,0.06859501588363487,-0.0009871855793856471,0.10220181839239542,-0.045093412602230085,-0.06587946684587616,-0.03484275139179669,-0.07820267351362288,-0.028131717176477968,0.0575829076380354,-0.024457186911637258,0.00713608855591239,0.05958638099467477,0.10500796116907486,0.11445271676377092,-0.0013964162946811661,0.04751063055286608,0.09914050094002301,0.031885331202904786,0.11143822930239221,0.023523535240640915,0.09888422936299748,0.06286897393735248,0.06578303882054995,0.08369572400317668,0.11799529167111966,0.07194704722235731,0.12935250499892714,0.0028703521580928973,0.040084129853212525,0.04877256464196959,-0.017492598211730822,-0.0005421819065731281,0.06424383773378796,0.007432495400591928,0.0761067920541741,0.02163905605834009,0.033110340535911664,0.03210596935626425,0.03836812594748312,0.036041384362880735,0.0029973745195503855,0.023267160501348718,0.06512296181911237
7Networks_LH_SomMot_13,0.14903661162993373,0.3138581544284975,0.058310629636319375,0.702248756749877,0.5072910371368254,1.0,0.622982928734133,0.630447705211845,0.21520087596473506,0.6335271778985645,0.1308657598055149,0.23730381982721974,0.3246548932235877,0.19645982203641185,0.16888655577764194,0.08878538110955377,0.03326317005866816,0.2069765097246802,0.1759458290028043,0.06249007225652328,0.23744997392422176,0.05351000079779237,0.2003044139828061,0.19811216919179858,0.13448669257358592,0.13588979609602744,0.14829330361803963,0.2424965196870343,0.04163181149117033,0.23217775141296293,0.1413023824599745,0.20730370942175733,0.1615887066793919,0.21736080322483936,0.2589157610819888,0.44272266910409147,0.1611196643689148,0.7028749507636871,0.6724183644542604,0.6447702871490184,0.6281370799484969,0.099575620273491,0.27039458847009445,0.10399949648651247,0.3779445461855331,0.1595317427178205,0.18969855745036807,0.14222487434836642,0.25818157886647136,0.148156594608365,0.2444413032255574,0.17219383606734,0.16213632493066885,0.1525461114089609,0.1943586564666215,0.27264433375457875,0.211684691562171,0.06619785547761711,0.12818679064055044,0.14402703085019566,0.09600073309918375,0.1288463897107219,-0.07568798822669255,-0.018898875779573797,-0.05300697203839089,-0.04657116874733091,-0.029620189622377644,-0.01614104941530285,-0.07580165828906002,-0.009742630368187353,-0.08988515437103427,-0.0779445033683758,-0.054306276005061195,-0.08722773840712596,-0.04893036239014339,-0.02727572318839709,-0.07480147839385974,-0.05549038789009213,0.031367377875753166,0.04941633991705313,0.06248313149480336,-0.03253448681944341,-0.03970742645772184,-0.01525536834269591,-0.04100944178834712,-0.029028314650501343,-0.012393085682233636,-0.04843176096494231,-0.016891769923860926,-0.09616651389810833,-0.08671091366109071,-0.08228006195096375,-0.08683690278002186,-0.10797865778363662,-0.012773111525226874,-0.04438719264337218,0.02122979242643032,-0.09880619752121142,-0.1066084316130006,-0.061484752199705506,-0.07479725511160475,-0.08134057747990278,0.0007893196016605835,-0.004721218407690478,-0.05689887735129388,-0.018287803743245564,-0.0183513781813872,-0.03727139251371665,-0.021299472213977655,0.008859261397062482
7Networks_LH_SomMot_14,0.12285535775370342,0.29224226648621393,0.06881802112992036,0.536683599701539,0.4448439762628181,0.622982928734133,1.0,0.5681162398103687,0.37855655291334445,0.6385687546428178,0.13119898363500454,0.19460288961288466,0.30722675920780157,0.311533985256264,0.24630565504824195,0.04069377955717189,0.08811900903298595,0.2605397929116102,0.22757628080313333,0.17768113592263304,0.3200959990012425,0.09318049036683708,0.2911392645443125,0.19790526874847716,0.09750868969352111,0.176981732105792,0.10808089180839792,0.26290414752709396,0.06152897898371904,0.22653544386460017,0.14717519333828477,0.16342587283760476,0.1817156715913565,0.23782231389978473,0.17829402574071032,0.4539187543931849,0.09380125801271318,0.6233881724473106,0.6452969623302736,0.6101652259188067,0.5088050935494671,0.10518300231484413,0.1415652841799242,0.1406736826138493,0.3650430924103583,0.1894539545175704,0.23901384938665737,0.2555814722860851,0.3523551451966915,0.27021424999085886,0.33259370112114855,0.20174737891540034,0.22391468453277058,0.12548811384176767,0.14799257301460236,0.271100208495217,0.19702613958108472,0.007929023849092217,0.1811211933764627,0.17147504759917112,0.017054561930280505,0.22402137263502928,-0.02259663347999513,0.02854168276086224,0.03810958059837715,0.027008902821293628,0.024544424691995703,0.040337947303239675,0.0018845964858329384,0.05247962103754183,-0.016003482106708784,0.0366088281999928,0.018460883491871815,-0.05931012149374392,0.004596018608304239,0.02218137555302533,-0.011472526025501775,0.01132985716438178,-0.00043841889795509455,-0.010909319437526387,0.04263308096848482,-0.08821561932953541,-0.10511709056146014,-0.020507153846667497,-0.03711435589797285,-0.023206979035182596,0.046775002093502646,0.002096480389479044,0.05189458091682439,-0.06690287707765875,-0.050100246235054234,-0.02458226564000742,-0.03935008053164149,-0.0533197550066258,0.018910093999179645,0.017313403320608975,0.03623446916645511,-0.07677237465827089,-0.0031441082094942163,-0.03632148243420869,-0.05119837221809834,-0.06257847648521271,-0.03342032071058099,-0.056593309711063335,-0.09482425865151348,-0.11578540456009742,-0.09743279199253994,-0.12291984111604229,-0.10165148834878922,-0.07729994357960271
7Networks_LH_SomMot_15,0.2941774715192679,0.45264263382000774,0.09226826563528034,0.5428944618475975,0.5415354446653037,0.630447705211845,0.5681162398103687,1.0,0.2552769113660331,0.7423799513742825,0.297037618683588,0.3590368473359164,0.5053399325278325,0.5062937475223145,0.4901244945932383,0.1673676274135587,0.25296703071027166,0.33493290496852307,0.41892990869630764,0.32940695752403437,0.5787785479664336,0.23425021032546267,0.4243544663368425,0.27877307789587746,0.39068432306753714,0.3900534025602942,0.37950316600206346,0.3870791567559947,0.26914520351335774,0.362601010522264,0.20155433359716626,0.2651557076388612,0.3153397867624211,0.41035694307551007,0.35975781481528735,0.5101025918008968,0.12685414731606495,0.6189320932465453,0.6297527741417971,0.6203917567340731,0.7323108291324285,0.3093302365595695,0.28557391325797954,0.2452683553093561,0.5926967163288063,0.41368249178533467,0.4097509204717075,0.389226810108347,0.5089419043011895,0.38337372485933224,0.4974917631006338,0.42856813705005153,0.34034505035948315,0.33461057547477147,0.30783904857379457,0.44135823929484447,0.3174285124448778,0.26666705938607316,0.3191731792142805,0.42170068714474035,0.19383251717356711,0.2787291071261943,-0.12971282095082626,0.0019356268298757024,-0.006649375729668548,-0.13911703846603657,-0.040624260328382636,0.005728316622680991,-0.08096076335155773,0.047611741437176856,-0.0696717873149113,-0.025803281920202658,-0.00483032186480971,-0.06783351070564508,-0.005107582902983293,0.025250939562201043,-0.0564325830880138,-0.005639751931716966,0.024329481548510366,0.04619692853570935,0.08108245829328511,-0.021906897214220376,-0.03806672229031985,-0.004172472356900476,-0.020085287121254715,0.000495380672774435,0.03499656137749434,0.058732689533107396,0.013762620331485684,-0.11310791796264764,-0.03891027252731277,-0.03448493073009853,-0.0386636616421755,-0.009049446384041019,0.02885648201151683,-0.03627718895669129,-0.005178136544623503,-0.0803481797762072,-0.09413333232438036,-0.07423410578483201,-0.04756034071564703,-0.0994005285956248,0.009998684932523863,-0.04269219504230735,-0.022426557391943783,-0.05442165832752888,-0.04679468757965558,-0.04563325912629463,-0.03170161021905965,-0.032325050161966094
7Networks_LH_SomMot_16,0.07337839475611754,0.22086451133197818,0.11480119106015708,0.15703944643662196,0.25457678590341515,0.21520087596473506,0.37855655291334445,0.2552769113660331,1.0,0.3667459802782551,0.3082578316758706,0.27555779198085983,0.36319841384095825,0.3307774990105563,0.22393147559864057,0.2587989620430831,0.2808845597386858,0.44315727191601323,0.3571542953857503,0.24545950314045825,0.35439218708121173,0.2768789105534275,0.3503024525565642,0.2652886886010275,0.2282240383254874,0.24521039877453746,0.1835559332675426,0.30408850747190214,0.2544184509832917,0.2735345077732677,0.08433568797805086,0.17233738952462643,0.060079462145744084,0.1856556950627953,0.07217651144940243,0.19560818407682043,0.2775940447954333,0.19681459380424,0.22637759768525717,0.2643787765952234,0.25209113345397827,0.1089449176339702,0.18887236205469562,0.3125395050067152,0.3411010244817394,0.37663410241407286,0.3525347257597701,0.3938094465057956,0.3696583522490653,0.36060468730547807,0.42321521075858903,0.31172433156545715,0.3387943852834377,0.2570186293559074,0.26237288216927834,0.2811991945102492,0.2304361307040911,0.06938953286606965,0.3467141729175026,0.24680254115938197,0.11548442045060867,0.28524024817684457,-0.10242760304556216,-0.0855042472212923,-0.0715798737262579,-0.044180795973784374,-0.06322298534697988,-0.026614290269261747,-0.09301609183491262,-0.04124197347353772,-0.027730751220467146,0.011429761005684725,-0.014579628664312779,-0.04387489537126322,0.008867490599618373,0.06523783207562482,-0.018628773970564467,0.04413526541640244,-0.035586544768388136,0.024200647621747964,0.06477962778796897,0.03505055139981438,0.019412216791530736,0.02937009107554918,0.04045539870404498,0.0677691587790689,-0.0915122103059812,-0.0745950404602365,-0.042475723578108,-0.17323202601601081,-0.12776854226970394,-0.03316969681263509,-0.11497978914739054,-0.04594423764576121,-0.03626651427548023,-0.0557486187893541,-0.05021830415393495,-0.13346290479931608,-0.09753122338203116,-0.0650784210320539,-0.07218728990446004,-0.14708149791438901,-0.09930276592330256,-0.1842977393494962,-0.2088826347506464,-0.1224360032208957,-0.17208038270748732,-0.1677763236070084,-0.19603959274286528,-0.2013161122602126
7Networks_LH_SomMot_17,0.24976963112575043,0.3864909718650485,0.06271736127414991,0.6018962639485871,0.5341756690042767,0.6335271778985645,0.6385687546428178,0.7423799513742825,0.3667459802782551,1.0,0.22165038809941615,0.39250428405263565,0.4756759274433499,0.41147158628285074,0.4318905300721872,0.17519333932026826,0.22989824362939257,0.3251421521489883,0.3354994544890973,0.3149966467294047,0.5298574168213938,0.168812834366385,0.3887965180051412,0.2621910724904791,0.3229626034039912,0.42222128516325574,0.2952745851230468,0.3463102834806249,0.2382995586846601,0.33371781919623045,0.18720050747588468,0.2706232417544647,0.242059406776731,0.3684995928462418,0.3446722921805305,0.5030189700300062,0.16818860174009212,0.6759881938320763,0.6796130960839537,0.6882827226553574,0.6997233188020547,0.23568170872298866,0.30762167274393043,0.2323595431694168,0.6023182380882107,0.3257554377430371,0.4233091842638915,0.38227019004056245,0.5139198112344993,0.3679054722205526,0.49311917194297167,0.36300047333318364,0.34349311649438324,0.3123544547448664,0.2510540180292097,0.42687644577689515,0.33155713804398296,0.19819225863876175,0.32132177819706376,0.42517684440278675,0.14670820598187082,0.2559228472225048,-0.14819739462496323,0.016297968346131633,-0.010300837384878062,-0.0861018928320696,-0.0178653866072014,0.00687235999203072,-0.07933520104260834,0.03309041080543477,-0.05814503550129656,-0.04370283824290045,-0.03390054682215086,-0.07857230172080634,-0.01870357815684009,0.017874471547026625,-0.06849341270739223,-0.049675441790525895,0.021446289638401127,0.03376191850638024,0.049061048943304576,-0.0269961875389446,-0.047870516340779073,0.015983389120923716,-0.02849851656516621,-0.01394430682957698,0.041623344068680415,0.03210541232653286,0.03576503446782598,-0.07660297918305606,-0.029738895498345647,-0.0011989655447727275,-0.05180550833397751,-0.008010714197919771,0.015675666084179685,-0.016111904076281713,-0.009776191560778464,-0.09175201225783572,-0.05459080984768859,-0.03405126416031576,-0.02533221024869253,-0.031319469304589766,-0.0014696234710439285,-0.01668558047732093,-0.04236321506048652,-0.006834582378276573,-0.047343894757386755,-0.08882614008091524,-0.016280154143093035,-0.022612396594200636
